screen_width: 1920 screen_height: 937
target_point: 2 target_x: 960 target_y: 38.4
x: 956.8886184883555 y: 545.4311844831531 timestamp: 1658784253370
x: 967.5569020739762 y: 541.5967898521749 timestamp: 1658784253441
x: 960.5957272832804 y: 553.3593532361969 timestamp: 1658784253516
x: 947.5743210420278 y: 560.5926127039759 timestamp: 1658784253587
x: 962.7004886881141 y: 527.8632059359004 timestamp: 1658784253661
x: 958.6830330876398 y: 480.65172213257796 timestamp: 1658784253734
x: 970.426663972979 y: 463.56302072057264 timestamp: 1658784253806
x: 938.1786581186786 y: 440.6065593177178 timestamp: 1658784253883
x: 938.048433772577 y: 438.672413862626 timestamp: 1658784253957
x: 911.436734536428 y: 427.04940208959687 timestamp: 1658784254031
x: 900.5382750050378 y: 454.10091314737707 timestamp: 1658784254106
x: 920.729868494665 y: 448.0677176981863 timestamp: 1658784254178
x: 957.7895793975002 y: 432.3566476697562 timestamp: 1658784254253
x: 977.8829172940957 y: 409.46601561006827 timestamp: 1658784254327
x: 931.8735446230353 y: 462.55681658047473 timestamp: 1658784254400
x: 953.4717826986878 y: 444.9237460656957 timestamp: 1658784254473
x: 972.1967468798639 y: 425.25563317144224 timestamp: 1658784254548
x: 967.4215610174558 y: 429.2769547433177 timestamp: 1658784254622
x: 954.4341153866959 y: 407.65571871394087 timestamp: 1658784254694
x: 946.6696631670317 y: 413.5424218609999 timestamp: 1658784254770
x: 925.3029530113339 y: 402.804951579054 timestamp: 1658784254844
x: 904.8225690990315 y: 431.6386094849701 timestamp: 1658784254922
x: 879.9552858151436 y: 432.9673775850473 timestamp: 1658784254998
x: 878.3419429247963 y: 432.5774723905549 timestamp: 1658784255071
x: 891.317649764339 y: 425.2001143066797 timestamp: 1658784255142
x: 902.4378639453539 y: 406.3901399132655 timestamp: 1658784255217
x: 894.8780938386959 y: 460.68843143541363 timestamp: 1658784255291
x: 887.3986160240665 y: 487.91986797591295 timestamp: 1658784255365
x: 884.0025824815958 y: 530.9388515127282 timestamp: 1658784255442
x: 879.441100020681 y: 527.0644166407939 timestamp: 1658784255513
x: 890.6334109360718 y: 553.666616010311 timestamp: 1658784255585
x: 878.0670486264322 y: 559.8832578990583 timestamp: 1658784255661
x: 872.7928766640423 y: 540.3911474532575 timestamp: 1658784255733
x: 888.5607150608998 y: 504.9221034909335 timestamp: 1658784255806
x: 898.9568550730836 y: 507.18297007501366 timestamp: 1658784255883
x: 897.3933328456983 y: 524.1835237653116 timestamp: 1658784255956
x: 888.6176631747762 y: 528.041747367092 timestamp: 1658784256028
x: 917.7255775221272 y: 496.9037113068215 timestamp: 1658784256102
x: 908.7925374880016 y: 425.54158309383604 timestamp: 1658784256176
x: 880.364272157839 y: 420.02978488968705 timestamp: 1658784256249
x: 875.6226562244814 y: 431.3691029110651 timestamp: 1658784256323
x: 883.9386193896257 y: 449.0674087237855 timestamp: 1658784256398
x: 851.3046242086797 y: 448.75748210847456 timestamp: 1658784256470
x: 866.1116950530984 y: 449.9815216146127 timestamp: 1658784256546
x: 891.6784422338587 y: 449.3073506133253 timestamp: 1658784256618
x: 925.7765168924924 y: 443.0155377497766 timestamp: 1658784256692
x: 911.9439278671639 y: 440.5511417127964 timestamp: 1658784256768
x: 937.9486090867218 y: 453.4458477600358 timestamp: 1658784256840
x: 968.0609888450617 y: 459.49696501299184 timestamp: 1658784256918
x: 978.5105847148129 y: 446.3768284257242 timestamp: 1658784256997
x: 989.9088123913003 y: 454.01388486730167 timestamp: 1658784257070
x: 944.2689599887816 y: 436.3414755745576 timestamp: 1658784257145
x: 923.9310346835531 y: 435.9955215893203 timestamp: 1658784257221
x: 865.3308673944036 y: 418.22032424438254 timestamp: 1658784257292
x: 791.0715602314791 y: 403.3844042231979 timestamp: 1658784257366
x: 716.2468269533969 y: 377.43496855631804 timestamp: 1658784257442
x: 691.4944727201282 y: 356.34184499276483 timestamp: 1658784257515
x: 603.4545094528083 y: 370.06989932274456 timestamp: 1658784257591
x: 555.2566478441718 y: 398.41837690424126 timestamp: 1658784257666
x: 512.6370237835905 y: 396.8993129505017 timestamp: 1658784257740
x: 500.60208030524745 y: 380.1178647309841 timestamp: 1658784257813
x: 468.3105260795751 y: 382.8097905746729 timestamp: 1658784257891
x: 488.221876259866 y: 415.9180074197853 timestamp: 1658784257973
x: 469.2342055375243 y: 417.44894465969446 timestamp: 1658784258050
x: 484.8290366022104 y: 449.10413070986954 timestamp: 1658784258125
x: 485.7267534074187 y: 441.997037438107 timestamp: 1658784258198
x: 471.34585979078315 y: 426.0440531022146 timestamp: 1658784258272
x: 467.4564465722321 y: 462.4791179452247 timestamp: 1658784258348
x: 467.2230681157253 y: 466.0633141994483 timestamp: 1658784258425
x: 485.07639360646016 y: 496.09322707217007 timestamp: 1658784258496
x: 489.28205368380355 y: 482.4414615125476 timestamp: 1658784258571
x: 478.24183907298305 y: 493.8082667321316 timestamp: 1658784258648
x: 454.568649090634 y: 499.8835518737301 timestamp: 1658784258720
x: 446.4206631860316 y: 513.4149155539914 timestamp: 1658784258797
x: 438.4136366172299 y: 531.9931443980444 timestamp: 1658784258872
x: 436.268937092034 y: 536.167443925937 timestamp: 1658784258950
x: 434.38102931372896 y: 509.33472073125245 timestamp: 1658784259023
x: 426.3175600832559 y: 532.6590015359285 timestamp: 1658784259098
x: 420.23302836969486 y: 537.1932701478833 timestamp: 1658784259174
x: 439.40602460653105 y: 559.9644586408467 timestamp: 1658784259251
x: 472.7047493921295 y: 546.1859158086758 timestamp: 1658784259323
x: 488.25628782733 y: 517.8057314347245 timestamp: 1658784259397
x: 505.6431998291781 y: 512.2019637412465 timestamp: 1658784259473
x: 525.1549643640154 y: 519.723857149236 timestamp: 1658784259548
x: 531.074667282881 y: 524.8909490543241 timestamp: 1658784259624
x: 557.9348368431879 y: 532.1042216554702 timestamp: 1658784259698
x: 595.5717218018629 y: 537.5757717449318 timestamp: 1658784259773
x: 571.6466772610404 y: 543.820870437796 timestamp: 1658784259849
x: 573.978355578197 y: 531.5609475825618 timestamp: 1658784259940
x: 541.7083382383267 y: 540.936245832106 timestamp: 1658784260023
x: 540.0737051598122 y: 525.5178508816393 timestamp: 1658784260102
x: 546.5811651966116 y: 508.5081338804884 timestamp: 1658784260183
x: 550.1248309361553 y: 496.98603215849766 timestamp: 1658784260263
x: 566.2426603649765 y: 489.0992835126954 timestamp: 1658784260344
x: 588.3150799131884 y: 481.82953234848674 timestamp: 1658784260428
x: 580.4070928727471 y: 472.52762042913105 timestamp: 1658784260510
x: 599.060749684402 y: 479.59834286223787 timestamp: 1658784260592
x: 560.9833433890235 y: 504.05858521889013 timestamp: 1658784260673
x: 553.4882312157812 y: 521.359376582177 timestamp: 1658784260752
x: 548.4117719427325 y: 535.75851959987 timestamp: 1658784260832
x: 510.9724109287991 y: 525.1583855971437 timestamp: 1658784260913
x: 549.9961988396175 y: 548.8613396363768 timestamp: 1658784260998
x: 533.7074233244315 y: 546.4973456370063 timestamp: 1658784261080
x: 528.7690168576737 y: 514.0236125394898 timestamp: 1658784261161
x: 516.2178708342066 y: 501.62990758570584 timestamp: 1658784261241
x: 528.1197076651132 y: 509.5472187980832 timestamp: 1658784261323
x: 527.9941195341162 y: 510.84132099942053 timestamp: 1658784261400
x: 507.9468634360573 y: 533.8037399204919 timestamp: 1658784261481
x: 544.4798782187128 y: 533.5282821669966 timestamp: 1658784261563
x: 533.1065362001171 y: 517.0216016734589 timestamp: 1658784261645
x: 582.127698284018 y: 509.27689894708175 timestamp: 1658784261726
x: 578.8057362699332 y: 503.8024561553776 timestamp: 1658784261808
x: 581.7150826725481 y: 492.26606910198797 timestamp: 1658784261889
x: 598.213883806376 y: 481.92287059723907 timestamp: 1658784261971
