screen_width: 1920 screen_height: 937
target_point: 1 target_x: 38.4 target_y: 38.4
x: 948.0154102632027 y: 304.78817486371116 timestamp: 1658783807602
x: 928.264550704388 y: 291.06095570278154 timestamp: 1658783807675
x: 913.0002331111449 y: 272.4463919883192 timestamp: 1658783807749
x: 915.6592935197141 y: 279.95019803097966 timestamp: 1658783807828
x: 904.850947740311 y: 294.18361100773126 timestamp: 1658783807904
x: 882.062859831922 y: 313.89129613119485 timestamp: 1658783807982
x: 883.0750280627528 y: 348.3985679210927 timestamp: 1658783808061
x: 892.6701570844632 y: 363.9743274146148 timestamp: 1658783808135
x: 867.0901512207877 y: 367.8680076555678 timestamp: 1658783808213
x: 871.0764014710389 y: 335.7639822130344 timestamp: 1658783808292
x: 879.4168643523416 y: 338.81794070396415 timestamp: 1658783808369
x: 887.9126889431511 y: 348.60632007384373 timestamp: 1658783808447
x: 902.1030108279375 y: 349.1699220622678 timestamp: 1658783808523
x: 871.4991853938915 y: 363.7364354387649 timestamp: 1658783808604
x: 860.1575549763842 y: 360.9300755122068 timestamp: 1658783808683
x: 878.3081645547568 y: 344.1968183738728 timestamp: 1658783808758
x: 879.2745529011387 y: 331.9713726570948 timestamp: 1658783808834
x: 865.7803416707011 y: 341.1891043557277 timestamp: 1658783808910
x: 885.5056460469574 y: 301.3195065902259 timestamp: 1658783808983
x: 911.1821440171332 y: 298.316971526259 timestamp: 1658783809057
x: 897.310734101495 y: 255.09163610364647 timestamp: 1658783809134
x: 882.6410564525299 y: 214.52540805206422 timestamp: 1658783809211
x: 891.9473069372114 y: 193.60682803233715 timestamp: 1658783809285
x: 909.3518373455927 y: 189.36196816057014 timestamp: 1658783809361
x: 928.2375834413613 y: 179.22567174979207 timestamp: 1658783809436
x: 936.8482628237092 y: 177.4831295532582 timestamp: 1658783809510
x: 955.567796410267 y: 190.9127218254635 timestamp: 1658783809585
x: 956.1355448585239 y: 185.36363603717166 timestamp: 1658783809662
x: 985.8155704337744 y: 187.327528757982 timestamp: 1658783809739
x: 983.0518345779253 y: 183.8544604002916 timestamp: 1658783809813
x: 970.6442572917025 y: 181.08976723698285 timestamp: 1658783809899
x: 961.7770730621263 y: 165.79203326921723 timestamp: 1658783809978
x: 953.9158971644817 y: 173.02611640677972 timestamp: 1658783810055
x: 961.5435828575288 y: 174.4548881141384 timestamp: 1658783810135
x: 968.3902089288807 y: 182.7482437074082 timestamp: 1658783810212
x: 957.1941657572927 y: 172.95457125086858 timestamp: 1658783810293
x: 928.752819414527 y: 198.61674357213155 timestamp: 1658783810371
x: 917.5618851098144 y: 188.33384931523344 timestamp: 1658783810454
x: 862.3814906374562 y: 169.51515958628468 timestamp: 1658783810533
x: 831.9655372462581 y: 145.72831178334354 timestamp: 1658783810615
x: 828.9518827645135 y: 142.6296436381785 timestamp: 1658783810693
x: 822.0567105814006 y: 98.31367092541736 timestamp: 1658783810772
x: 787.0553430757261 y: 104.48840255010987 timestamp: 1658783810855
x: 768.8833695049967 y: 99.00956557019828 timestamp: 1658783810932
x: 764.6168242075313 y: 100.59516768925803 timestamp: 1658783811010
x: 769.5949183810258 y: 102.36809879410211 timestamp: 1658783811088
x: 810.497708966743 y: 134.22833871997335 timestamp: 1658783811168
x: 832.9313771964803 y: 128.17927336106587 timestamp: 1658783811247
x: 872.0189923357076 y: 124.60289666951935 timestamp: 1658783811321
x: 871.6946301903749 y: 97.84411743863939 timestamp: 1658783811398
x: 878.3043003775814 y: 107.95720939280432 timestamp: 1658783811476
x: 863.9627599503209 y: 123.93425129823977 timestamp: 1658783811590
x: 929.1512773908574 y: 159.5561426934028 timestamp: 1658783811678
x: 956.5443212708016 y: 191.40611831541807 timestamp: 1658783811771
x: 947.6064491267865 y: 201.64947073552938 timestamp: 1658783811856
x: 950.9705273881582 y: 209.30502596175623 timestamp: 1658783811942
x: 960.4748007946339 y: 190.1443776525648 timestamp: 1658783812033
x: 969.5665481549136 y: 205.79972879636404 timestamp: 1658783812119
x: 968.6265901150653 y: 202.0658287230729 timestamp: 1658783812202
x: 1008.1112256916053 y: 206.79418873743285 timestamp: 1658783812289
x: 1009.6391907503113 y: 212.87080011360322 timestamp: 1658783812373
x: 1019.720614609591 y: 219.3131070929454 timestamp: 1658783812461
x: 1010.0434167600166 y: 239.39554985378604 timestamp: 1658783812550
x: 998.2430100571016 y: 237.54995393210336 timestamp: 1658783812635
x: 987.6033482053931 y: 223.6191742172665 timestamp: 1658783812724
x: 998.9583411801603 y: 214.23116347153498 timestamp: 1658783812807
x: 963.0552377982193 y: 185.48925437988703 timestamp: 1658783812892
x: 940.2213328540213 y: 145.47941839060556 timestamp: 1658783812978
x: 937.5449307273916 y: 139.32126669731912 timestamp: 1658783813063
x: 912.0473750891684 y: 103.9337512577089 timestamp: 1658783813150
x: 917.6186963778283 y: 107.25266359338713 timestamp: 1658783813236
x: 917.7567758748678 y: 105.45670282853754 timestamp: 1658783813322
x: 933.7222557742688 y: 101.66144605650186 timestamp: 1658783813411
x: 911.4785398363928 y: 87.65010145370138 timestamp: 1658783813496
x: 932.0374995257464 y: 90.5175008259868 timestamp: 1658783813578
x: 911.0705018057348 y: 86.37137910644581 timestamp: 1658783813662
x: 946.7610624761185 y: 100.92633347279363 timestamp: 1658783813749
x: 908.9865222795578 y: 75.05554428987693 timestamp: 1658783813836
x: 888.9613317429645 y: 56.07399323029219 timestamp: 1658783813920
x: 870.824940750676 y: 85.20345037498944 timestamp: 1658783814011
x: 895.9167850384276 y: 79.27275163075106 timestamp: 1658783814097
x: 918.4319802282803 y: 81.1095589566349 timestamp: 1658783814183
x: 918.300975793476 y: 86.71995220560679 timestamp: 1658783814270
